Disease,Description,Essential_Features
Gaming disorder,"Gaming disorder is characterised by a pattern of persistent or recurrent gaming behaviour (‘digital gaming’ or ‘video-gaming’), which may be online (i.e., over the internet) or offline, manifested by:

1. impaired control over gaming (e.g., onset, frequency, intensity, duration, termination, context);

2. increasing priority given to gaming to the extent that gaming takes precedence over other life interests and daily activities; and

3. continuation or escalation of gaming despite the occurrence of negative consequences.

The pattern of gaming behaviour may be continuous or episodic and recurrent. The pattern of gaming behaviour results in marked distress or significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. The gaming behaviour and other features are normally evident over a period of at least 12 months in order for a diagnosis to be assigned, although the required duration may be shortened if all diagnostic requirements are met and symptoms are severe.","A persistent pattern of gaming behaviour (‘digital gaming’ or ‘video-gaming’), which may be predominantly online (i.e., over the internet or similar electronic networks) or offline, manifested by all of the following:
Impaired control over gaming behaviour (e.g., onset, frequency, intensity, duration, termination, context);
Increasing priority given to gaming behaviour to the extent that gaming takes precedence over other life interests and daily activities; and
Continuation or escalation of gaming behaviour despite negative consequences (e.g., family conflict due to gaming behaviour, poor scholastic performance, negative impact on health).
The pattern of gaming behaviour may be continuous or episodic and recurrent but is manifested over an extended period of time (e.g., 12 months).
The gaming behaviour is not better accounted for by another mental disorder (e.g., Manic Episode) and is not due to the effects of a substance or medication.
The pattern of gaming behaviour results in significant distress or impairment in personal, family, social, educational, occupational, or other important areas of functioning."
Secondary impulse control syndrome,"A syndrome characterised by the presence of prominent symptoms that are characteristic of Impulse Control Disorders or Disorders Due to Addictive Behaviours (e.g., stealing, fire-setting, aggressive outbursts, compulsive sexual behaviour, excessive gambling) that are judged to be a direct pathophysiological consequence of a health condition not classified under mental and behavioural disorders, based on evidence from the history, physical examination, or laboratory findings. The symptoms are not accounted for by delirium or by another mental and behavioural disorder, and are not a psychologically mediated response to a severe medical condition (e.g., as part of an adjustment disorder in response to a life-threatening diagnosis). This category should be used in addition to the diagnosis for the presumed underlying disorder or disease when the impulse control symptoms are sufficiently severe to warrant specific clinical attention.","The presence of prominent symptoms that are characteristic of Impulse Control Disorders or Disorders Due to Addictive Behaviours (e.g., stealing, fire-setting, aggressive outbursts, compulsive sexual behaviour, excessive gambling).
The symptoms are judged to be the direct pathophysiological consequence of a medical condition, based on evidence from history, physical examination, or laboratory findings. This judgment depends on establishing that:
The medical condition is known to be capable of producing the symptoms;
The course of the symptoms (e.g., onset, remission, response to treatment of the etiological medical condition) is consistent with causation by the medical condition; and
The symptoms are not better accounted for by Delirium, Dementia, another mental disorder (e.g., an Impulse Control Disorder or a Disorder Due to Addictive Behaviours), or the effects of a medication or substance, including withdrawal effects.
The symptoms are sufficiently severe to be a specific focus of clinical attention."
Body-focused repetitive behaviour disorders,"Body focused repetitive behaviour disorders are characterised by recurrent and habitual actions directed at the integument (e.g. hair-pulling, skin-picking, lip-biting), typically accompanied by unsuccessful attempts to decrease or stop the behaviour involved, and which lead to dermatological sequelae (e.g., hair loss, skin lesions, lip abrasions). The behaviour may occur in brief episodes scattered throughout the day or in less frequent but more sustained periods. The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Recurrent habitual actions directed at the integument other than hair pulling or skin picking (e.g., lip biting or nail biting),
Unsuccessful attempts to stop or decrease the behaviour.
Significant lesions or other impact on appearance resulting from the behaviour.
The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning."
Oppositional defiant disorder,"Oppositional defiant disorder is a persistent pattern (e.g., 6 months or more) of markedly defiant, disobedient, provocative or spiteful behaviour that occurs more frequently than is typically observed in individuals of comparable age and developmental level and that is not restricted to interaction with siblings. Oppositional defiant disorder may be manifest in prevailing, persistent angry or irritable mood, often accompanied by severe temper outbursts or in headstrong, argumentative and defiant behaviour. The behaviour pattern is of sufficient severity to result in significant impairment in personal, family, social, educational, occupational or other important areas of functioning","A pattern of markedly noncompliant, defiant, and disobedient behaviour that is atypical for individuals of comparable age, developmental level, gender, and sociocultural context. The pattern of behaviour may include:
Persistent difficulty getting along with others (e.g., arguing with authority figures, actively defying or refusing to comply with requests, directives, or rules, deliberately annoying others, blaming peers or co-workers for mistakes or misbehaviour).
Provocative, spiteful, or vindictive behaviour (e.g., antagonizing others; using social media to attack or mock others).
Extreme irritability or anger (e.g., being touchy or easily annoyed, losing temper, angry outbursts, being angry and resentful).
The behaviour pattern has persisted for an extended period of time (e.g., 6 months or more).
The oppositional behaviours are not better accounted for by relational problems between the individual and a particular authority figure toward whom the individual is behaving in a defiant manner. Examples may include parents, teachers, or supervisors who act antagonistically or place unreasonable demands on the individual.
The behaviour pattern results in significant impairment in personal, family, social, educational or other important areas of functioning."
Conduct-dissocial disorder,"Conduct-dissocial disorder is characterised by a repetitive and persistent pattern of behaviour in which the basic rights of others or major age-appropriate societal norms, rules, or laws are violated such as aggression towards people or animals; destruction of property; deceitfulness or theft; and serious violations of rules. The behaviour pattern is of sufficient severity to result in significant impairment in personal, family, social, educational, occupational or other important areas of functioning. To be diagnosed, the behaviour pattern must be enduring over a significant period of time (e.g., 12 months or more). Isolated dissocial or criminal acts are thus not in themselves grounds for the diagnosis.","A repetitive and persistent pattern of behaviour in which the basic rights of others or major age-appropriate social or cultural norms, rules, or laws are violated. Typically, there are multiple behaviours involved, including one or more of the following:
Aggression towards people or animals, such as bullying, threatening or intimidating others, instigating physical fights, using weapons that can cause serious physical harm to others (such as a brick, broken bottle, knife or gun), physical cruelty to people, physical cruelty to animals, aggressive forms of stealing (e.g., mugging, purse snatching, extortion), or forcing someone into sexual activity.
Destruction of property, such as deliberate fire setting with the intention of causing serious damage or deliberate destruction of others’ property (e.g., purposely breaking other children’s toys, breaking windows, scratching cars, slashing tires).
Deceitfulness or theft, such as stealing items of value (e.g., shoplifting, forgery), lying to obtain goods or favours or to avoid obligations (e.g., ‘conning’ others), or breaking into someone’s house, building or car.
Serious violations of rules, such as children or adolescents repeatedly staying out all night despite parental prohibitions, repeatedly running away from home, or often skipping school or work without permission.
The pattern of behaviour must be persistent and recurrent, including multiple incidents of the types of behaviours described above over an extended period of time (e.g., at least 1 year). The mere commission of one or more delinquent acts is not sufficient for the diagnosis.
The behaviour pattern results in significant impairment in personal, family, social, educational, occupational or other important areas of functioning."
Personality disorder,"Personality disorder is characterised by problems in functioning of aspects of the self (e.g., identity, self-worth, accuracy of self-view, self-direction), and/or interpersonal dysfunction (e.g., ability to develop and maintain close and mutually satisfying relationships, ability to understand others’ perspectives and to manage conflict in relationships) that have persisted over an extended period of time (e.g., 2 years or more). The disturbance is manifest in patterns of cognition, emotional experience, emotional expression, and behaviour that are maladaptive (e.g., inflexible or poorly regulated) and is manifest across a range of personal and social situations (i.e., is not limited to specific relationships or social roles). The patterns of behaviour characterizing the disturbance are not developmentally appropriate and cannot be explained primarily by social or cultural factors, including socio-political conflict. The disturbance is associated with substantial distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","An enduring disturbance characterized by problems in functioning of aspects of the self (e.g., identity, self-worth, accuracy of self-view, self-direction), and/or interpersonal dysfunction (e.g., ability to develop and maintain close and mutually satisfying relationships, ability to understand others’ perspectives and to manage conflict in relationships).
The disturbance has persisted over an extended period of time (e.g., lasting 2 years or more).
The disturbance is manifest in patterns of cognition, emotional experience, emotional expression, and behaviour that are maladaptive (e.g., inflexible or poorly regulated).
The disturbance is manifest across a range of personal and social situations (i.e., is not limited to specific relationships or social roles), though it may be consistently evoked by particular types of circumstances and not others.
The symptoms are not due to the direct effects of a medication or substance, including withdrawal effects, and are not better accounted for by another mental disorder, a Disease of the Nervous System, or another medical condition.
The disturbance is associated with substantial distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.
Personality Disorder should not be diagnosed if the patterns of behaviour characterizing the personality disturbance are developmentally appropriate (e.g., problems related to establishing an independent self-identity during adolescence) or can be explained primarily by social or cultural factors, including socio-political conflict."
Secondary personality change,"A syndrome characterised by a persistent personality disturbance that represents a change from the individual’s previous characteristic personality pattern that is judged to be a direct pathophysiological consequence of a health condition not classified under Mental and behavioural disorders, based on evidence from the history, physical examination, or laboratory findings. The symptoms are not accounted for by delirium or by another mental and behavioural disorder, and are not a psychologically mediated response to a severe medical condition (e.g., social withdrawal, avoidance, or dependence in response to a life-threatening diagnosis). This category should be used in addition to the diagnosis for the presumed underlying disorder or disease when the personality symptoms are sufficiently severe to warrant specific clinical attention.","The presence of personality disturbance (e.g., marked apathy, indifference, suspiciousness, paranoid ideation, disinhibition) that represents a change from the individual’s previous characteristic personality pattern.
The personality change is judged to be the direct pathophysiological consequence of a medical condition, based on evidence from the history, physical examination, or laboratory findings. This judgment depends on establishing that:
The medical condition is known to be capable of producing the observed symptoms;
The course of the personality change (e.g., onset, remission, response of the personality disturbance to treatment of the etiological medical condition is consistent with causation by the medical condition; and
The symptoms are not better accounted for by Delirium, Dementia, another mental disorder (e.g., Personality Disorder, Impulse Control Disorders, Secondary Impulse Control or Addictive Behaviour Syndrome) or the effects of a medication or substance, including withdrawal effects.
The symptoms are sufficiently severe to be a specific focus of clinical attention."
Exhibitionistic disorder,"Exhibitionistic disorder is characterised by a sustained, focused and intense pattern of sexual arousal—as manifested by persistent sexual thoughts, fantasies, urges, or behaviours—that involves exposing one’s genitals to an unsuspecting individual in public places, usually without inviting or intending closer contact. In addition, in order for Exhibitionistic Disorder to be diagnosed, the individual must have acted on these thoughts, fantasies or urges or be markedly distressed by them. Exhibitionistic Disorder specifically excludes consensual exhibitionistic behaviours that occur with the consent of the person or persons involved as well as socially sanctioned forms of exhibitionism.","A sustained, focused and intense pattern of sexual arousal—as manifested by persistent sexual thoughts, fantasies, urges, or behaviours—that involves exposing one’s genitals to an unsuspecting person in public places, usually without inviting or intending closer contact.
The individual must have acted on these thoughts, fantasies or urges or be markedly distressed by them. Exhibitionistic Disorder should not be diagnosed among children and should be diagnosed only with utmost caution among adolescents. Sexual experimentation is typical during adolescence and exhibitionistic acts may occur impulsively or opportunistically rather than representing a recurrent pattern of sexual arousal.
The diagnosis of Exhibitionistic Disorder is generally not adequately supported when the evidence indicating a sustained, focused and intense pattern of sexual arousal consists solely of a single or very limited number of instances of exhibitionistic behaviour, as there may be other explanations for specific occurrences (e.g., intoxication, opportunity). In the absence of the individual’s report of their sexual thoughts, fantasies, or urges indicating a sustained, focused and intense pattern of exhibitionistic sexual arousal, examples of other forms of evidence that may support the presence of an exhibitionistic arousal pattern include a preference for specific types of pornography; preference over other forms of sexual behaviour; or planning and repeatedly seeking out opportunities to engage in exhibitionistic behaviour."
Voyeuristic disorder,"Voyeuristic disorder is characterised by a sustained, focused and intense pattern of sexual arousal—as manifested by persistent sexual thoughts, fantasies, urges, or behaviours—that involves observing an unsuspecting individual who is naked, in the process of disrobing, or engaging in sexual activity. In addition, in order for Voyeuristic Disorder to be diagnosed, the individual must have acted on these thoughts, fantasies or urges or be markedly distressed by them. Voyeuristic Disorder specifically excludes consensual voyeuristic behaviours that occur with the consent of the person or persons being observed.","A sustained, focused and intense pattern of sexual arousal—as manifested by persistent sexual thoughts, fantasies, urges, or behaviours—that involves stimuli such as observing an unsuspecting person who is naked, in the process of disrobing, or engaging in sexual activity.
The individual must have acted on these thoughts, fantasies or urges or be markedly distressed by them. Voyeuristic Disorder should not be diagnosed among children and is not typically diagnosed among adolescents. Sexual curiosity is typical during adolescence and observation of others may occur impulsively or opportunistically rather than representing a recurrent pattern of sexual arousal.
The act of observing in Voyeuristic Disorder is for the purpose of achieving sexual excitement and does not necessarily involve an attempt to initiate sexual activity with the person being observed. Orgasm by masturbation may occur during the voyeuristic activity or later in response to memories of what the individual has seen. More recently, so-called ‘video voyeurs’ have been described who use video equipment to record individuals in public or private places where there is an expectation of privacy.
The diagnosis of Voyeuristic Disorder is generally not adequately supported when the evidence indicating a sustained, focused and intense pattern of sexual arousal consists solely of a single or very limited number of instances of voyeuristic behaviour, as there may be other explanations for specific occurrences (e.g., intoxication, opportunity). In the absence of a report of the individual’s sexual thoughts, fantasies, or urges, examples of other forms of evidence supporting the presence of a voyeuristic arousal pattern include a preference for specific types of pornography; preference over other forms of sexual behaviour; or planning and repeatedly seeking out opportunities to engage in voyeuristic behaviour."
Pedophilic disorder,"Pedophilic disorder is characterised by a sustained, focused, and intense pattern of sexual arousal—as manifested by persistent sexual thoughts, fantasies, urges, or behaviours—involving pre-pubertal children. In addition, in order for Pedophilic Disorder to be diagnosed, the individual must have acted on these thoughts, fantasies or urges or be markedly distressed by them. This diagnosis does not apply to sexual behaviours among pre- or post-pubertal children with peers who are close in age.","A sustained, focused, and intense pattern of sexual arousal—as manifested by persistent sexual thoughts, fantasies, urges, or behaviours—involving pre-pubertal children.
The individual must have acted on these thoughts, fantasies or urges or be markedly distressed by them.
The diagnosis does not apply to sexual arousal and accompanying behaviour between pre- or post-pubertal children who are close in age. Pedophilic Disorder should not be diagnosed among children and should be diagnosed only with utmost caution among adolescents. Sexual experimentation is typical during adolescence and sexual acts may occur impulsively or opportunistically rather than representing a recurrent pattern of sexual arousal.
The diagnosis of Pedophilic Disorder is generally not adequately supported when the evidence indicating a sustained, focused and intense pattern of sexual arousal consists solely of a single or very limited number of instances of pedophilic behaviour, as there may be other explanations for specific occurrences (e.g., intoxication, opportunity). In the absence of a report of the individual’s sexual thoughts, fantasies, or urges, examples of other forms of evidence supporting the presence of a pedophilic arousal pattern include a preference for specific types of pornography; preference over other forms of sexual behaviour; planning and repeatedly seeking out opportunities to engage in exhibitionistic behaviour; or the results of viewing time measures and/or penile plethysmography.
Some individuals with Pedophilic Disorder are attracted only to males, others only to females, and others to both.
Some individuals act on their pedophilic urges only with family members, while others have victims outside their immediate family or both"
Coercive sexual sadism disorder,"Coercive sexual sadism disorder is characterised by a sustained, focused and intense pattern of sexual arousal—as manifested by persistent sexual thoughts, fantasies, urges or behaviours—that involves the infliction of physical or psychological suffering on a non-consenting person. In addition, in order for Coercive Sexual Sadism Disorder to be diagnosed, the individual must have acted on these thoughts, fantasies or urges or be markedly distressed by them. Coercive Sexual Sadism Disorder specifically excludes consensual sexual sadism and masochism.","A sustained, focused and intense pattern of sexual arousal—as manifested by persistent sexual thoughts, fantasies, urges or behaviours—that involves the infliction of physical or psychological suffering on a non-consenting person.
The individual must have acted on these thoughts, fantasies or urges or be markedly distressed by them. Coercive Sexual Sadism Disorder should not be diagnosed among children and should be diagnosed only with utmost caution among adolescents. Sexual acts may occur impulsively or opportunistically during adolescence rather than representing a recurrent pattern of sexual arousal.
The diagnosis of Coercive Sexual Sadism Disorder is generally not adequately supported when the evidence indicating a sustained, focused and intense pattern of sexual arousal consists solely of a single or very limited number of instances of coercive sadistic sexual behaviour, as there may be other explanations for specific occurrences (e.g., intoxication, opportunity). In the absence of a report of the individual’s sexual thoughts, fantasies, or urges, examples of other forms of evidence supporting the presence of a coercive sadistic arousal pattern include a preference for specific types of pornography; preference over other forms of sexual behaviour; planning and repeatedly seeking out opportunities to engage in coercive sadistic sexual behaviour; or the results of viewing time measures and/or penile plethysmography."
Frotteuristic disorder,"Frotteuristic disorder is characterised by a sustained, focused and intense pattern of sexual arousal— as manifested by persistent sexual thoughts, fantasies, urges, or behaviours— that involves touching or rubbing against a non-consenting person in crowded public places. In addition, in order for Frotteuristic Disorder to be diagnosed, the individual must have acted on these thoughts, fantasies or urges or be markedly distressed by them. Frotteuristic Disorder specifically excludes consensual touching or rubbing that occur with the consent of the person or persons involved.","A sustained, focused and intense pattern of sexual arousal—as manifested by persistent sexual thoughts, fantasies, urges, or behaviours—that involves touching or rubbing against a non-consenting person.
The individual must have acted on these thoughts, fantasies or urges or be markedly distressed by them. Frotteuristic Disorder should not be diagnosed among children and should be diagnosed only with utmost caution among adolescents. Sexual experimentation is typical during adolescence and sexual acts may occur impulsively or opportunistically rather than representing a recurrent pattern of sexual arousal.
The diagnosis of Frotteuristic Disorder is generally not adequately supported when the evidence indicating a sustained, focused and intense pattern of sexual arousal consists solely of a single or very limited number of instances of frotteuristic behaviour, as there may be other explanations for specific occurrences (e.g., intoxication, opportunity). In the absence of a report of the individual’s sexual thoughts, fantasies, or urges, examples of other forms of evidence supporting the presence of an frotteuristic arousal pattern include a preference for specific types of pornography; preference over other forms of sexual behaviour; or planning and repeatedly seeking out opportunities to engage in frotteuristic behaviour."
Factitious disorder imposed on self,"Factitious disorder imposed on self is characterised by feigning, falsifying, or inducing medical, psychological, or behavioural signs and symptoms or injury associated with identified deception. If a pre-existing disorder or disease is present, the individual intentionally aggravates existing symptoms or falsifies or induces additional symptoms. The individual seeks treatment or otherwise presents himself or herself as ill, injured, or impaired based on the feigned, falsified, or self-induced signs, symptoms, or injuries. The deceptive behaviour is not solely motivated by obvious external rewards or incentives (e.g., obtaining disability payments or evading criminal prosecution). This is in contrast to Malingering, in which obvious external rewards or incentives motivate the behaviour","Feigning, falsifying, or intentionally inducing medical, psychological, or behavioural signs and symptoms or injury associated with identified deception. If a pre-existing disorder or disease is present, the individual intentionally aggravates existing symptoms or falsifies or induces additional symptoms.
The individual seeks treatment or otherwise presents themselves as ill, injured, or impaired based on the feigned, falsified, or self-induced signs, symptoms, or injuries.
The deceptive behaviour is not solely motivated by obvious external rewards or incentives (e.g., obtaining disability payments or evading criminal prosecution).
The behaviour is not better accounted for by another mental disorder (e.g., Schizophrenia or Other Primary Psychotic Disorder)."
Factitious disorder imposed on another,"Factitious disorder imposed on another is characterised by feigning, falsifying, or inducing, medical, psychological, or behavioural signs and symptoms or injury in another person, most commonly a child dependent, associated with identified deception. If a pre-existing disorder or disease is present in the other person, the individual intentionally aggravates existing symptoms or falsifies or induces additional symptoms. The individual seeks treatment for the other person or otherwise presents him or her as ill, injured, or impaired based on the feigned, falsified, or induced signs, symptoms, or injuries. The deceptive behaviour is not solely motivated by obvious external rewards or incentives (e.g., obtaining disability payments or avoiding criminal prosecution for child or elder abuse).","Feigning, falsifying, or intentionally inducing medical, psychological, or behavioural signs and symptoms or injury in another person, most commonly a child dependent, associated with identified deception. If a pre-existing disorder or disease is present in the other person, the individual intentionally exaggerates of aggravates existing symptoms or falsifies or induces additional symptoms.
The individual seeks treatment for the other person or otherwise presents him or her as ill, injured, or impaired based on the feigned, falsified, or induced signs, symptoms, or injuries.
The deceptive behaviour is not solely motivated by obvious external rewards or incentives (e.g., obtaining disability payments or avoiding criminal prosecution for child or elder abuse).
The behaviour is not better accounted for by another mental disorder (e.g., Schizophrenia or Other Primary Psychotic Disorder)."
Delirium,"Delirium is characterized by a disturbance of attention, orientation, and awareness that develops within a short period of time, typically presenting as significant confusion or global neurocognitive impairment, with transient symptoms that may fluctuate depending on the underlying causal condition or etiology. Delirium often includes disturbance of behaviour and emotion, and may include impairment in multiple cognitive domains. A disturbance of the sleep-wake cycle, including reduced arousal of acute onset or total sleep loss with reversal of the sleep-wake cycle, may also be present. Delirium may be caused by the direct physiological effects of a medical condition not classified under mental, behavioural or neurodevelopmental disorders, by the direct physiological effects of a substance or medication, including withdrawal, or by multiple or unknown etiological factors.","A disturbance of attention, orientation, and awareness developing within a short period of time (e.g., within hours or days), typically presenting as significant confusion or global neurocognitive impairment with transient symptoms that may fluctuate depending on the underlying causal condition or etiology.
The disturbance represents a change from the individual’s baseline functioning.
Delirium may be caused by the direct physiological effects of a medical condition not classified under Mental, Behavioural or Neurodevelopmental Disorders, by the direct physiological effects of a substance or medication, including withdrawal, or by multiple or unknown etiological factors.
The symptoms are not better accounted for by a pre-existing or evolving Neurocognitive Disorder (i.e., Amnestic Disorder, Mild Neurocognitive Disorder, or Dementia) or by another mental disorder (e.g., Schizophrenia or Other Primary Psychotic Disorder, a Mood Disorder, Post-Traumatic Stress Disorder, a Dissociative Disorder).
The symptoms are not better accounted for by a typical syndrome of Substance Intoxication or Substance Withdrawal for a substance or medication that is known to be present, although Delirium can occur as a complication of intoxication or withdrawal states (see Delirium Due to Psychoactive Substances Including Medications, below)."
Mild neurocognitive disorder,"Mild neurocognitive disorder is characterized by mild impairment in one or more cognitive domains relative to that expected given the individual’s age and general premorbid level of cognitive functioning, which represents a decline from the individual’s previous level of functioning. Diagnosis is based on report from the patient, informant, or clinical observation, and is accompanied by objective evidence of impairment by quantified clinical assessment or standardized cognitive testing. Cognitive impairment is not severe enough to significantly interfere with an individual’s ability to perform activities related to personal, family, social, educational, and/or occupational functioning or other important functional areas. Cognitive impairment is not attributable to normal aging and may be static, progressive, or may resolve or improve depending on underlying cause or treatment. Cognitive impairment may be attributable to an underlying acquired disease of the nervous system, a trauma, an infection or other disease process affecting the brain, use of specific substances or medications, nutritional deficiency or exposure to toxins, or the etiology may be undetermined. The impairment is not due to current substance intoxication or withdrawal.","Presence of mild impairment in one more or cognitive domains (e.g., attention, executive function, language, memory, perceptual-motor abilities, social cognition) relative to expectations for age and general premorbid level of neurocognitive functioning.
Impairment represents a decline from the individual’s previous level of functioning.
Neurocognitive impairment is not severe enough to significantly interfere with an individual’s ability to perform activities related to personal, family, social, educational, and/or occupational functioning or other important functional areas.
Evidence of mild neurocognitive impairment is based on:
Information obtained from the individual, informant, or clinical observation; and
Objective evidence of impairment as demonstrated by standardized neuropsychological/cognitive testing or, in its absence, another quantified clinical assessment.
Neurocognitive impairment is not attributable to normal aging.
Neurocognitive impairment may be attributable to an underlying acquired Disease of the Nervous System, a trauma, an infection or other disease process affecting the brain, use of specific substances or medications, nutritional deficiency or exposure to toxins, or the etiology may be undetermined.
The symptoms are not better explained by another Neurocognitive Disorder, Substance Intoxication or Substance Withdrawal, or another mental disorder (e.g., Attention Deficit Hyperactivity Disorder or other Neurodevelopmental Disorder, Schizophrenia or Other Primary Psychotic Disorder, a Mood Disorder, Post-Traumatic Stress Disorder, a Dissociative Disorder)."
Amnestic disorder,"Amnestic disorder is characterized by prominent memory impairment relative to expectations for age and general premorbid level of cognitive functioning, which represents a decline from the individual’s previous level of functioning, in the absence of other significant cognitive impairment. It is manifested by a deficit in acquiring, learning, and/or retaining new information, and may include the inability to recall previously learned information, without disturbance of consciousness, altered mental status, or delirium. Recent memory is typically more disturbed than remote memory, and the ability to immediately recall a limited amount of information is usually relatively preserved. The memory impairment is severe enough to result in significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. It is is presumed to be attributable to an underlying acquired disease of the nervous system, a trauma, an infection or other disease process affecting the brain, to use of specific substances or medications, nutritional deficiency or exposure to toxins, or the etiology may be undetermined. The impairment is not due to current substance intoxication or withdrawal.","Prominent memory impairment relative to expectations for age and general level of premorbid neurocognitive functioning, in the absence of other significant neurocognitive impairment.
The memory impairment represents a marked decline from previous levels of functioning.
The memory impairment is characterized by reduced ability to acquire, learn, and/or retain new information.
Evidence of memory impairment is based on:
Information obtained from the individual, an informant, or clinical observation; and
Substantial impairment in memory performance as demonstrated by standardized neuropsychological/cognitive testing or, in its absence, another quantified clinical assessment.
The symptoms are not better accounted for by disturbance of consciousness, altered mental status, Transient Global Amnesia (i.e., memory impairment lasting no more than 48 hours with most cases resolving within 6 hours), Delirium, Dementia, Substance Intoxication, Substance Withdrawal or another mental disorder (e.g., Schizophrenia or Other Primary Psychotic Disorder, a Mood Disorder, Post-Traumatic Stress Disorder, a Dissociative Disorder).
The symptoms result in significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. If functioning is maintained, it is only through significant additional effort (e.g., compensatory strategies)."
Dementia,"Dementia is characterized by the presence of marked impairment in two or more cognitive domains relative to that expected given the individual’s age and general premorbid level of cognitive functioning, which represents a decline from the individual’s previous level of functioning. Memory impairment is present in most forms of dementia, but cognitive impairment is not restricted to memory (i.e., there is impairment in other areas such as executive functions, attention, language, social cognition and judgment, psychomotor speed, visuoperceptual or visuospatial abilities). Neurobehavioural changes may also be present and, in some forms of dementia, may be the presenting symptom. Cognitive impairment is not attributable to normal aging and is severe enough to significantly interfere with independence in an individual’s performance of activities of daily living. The cognitive impairment is presumed to be attributable to an underlying acquired disease of the nervous system, a trauma, an infection or other disease process affecting the brain, or to use of specific substances or medications, nutritional deficiency or exposure to toxins, or the etiology may be undetermined. The impairment is not due to current substance intoxication or withdrawal.","Marked impairment in two or more cognitive domains relative to that expected given the individual’s age and general premorbid level of neurocognitive functioning, which represents a decline from the individual’s previous level of functioning.
Memory impairment is present in most forms of Dementia, but neurocognitive impairment is not restricted to memory and may be present in other cognitive domains such as executive functioning, attention, language, social cognition and judgment, psychomotor speed, and visuoperceptual or visuospatial functioning.
Evidence of neurocognitive impairment is based on:
Information obtained from the individual, informant, or clinical observation; and
Substantial impairment in memory performance as demonstrated by standardized neuropsychological/cognitive testing or, in its absence, another quantified clinical assessment.
Behavioural changes (e.g., changes in personality, disinhibition, agitation, irritability) may also be present and, in some forms of Dementia, may be the presenting symptom.
The symptoms are not better accounted for by disturbance of consciousness or altered mental status (e.g., due to seizure, traumatic brain injury, stroke, or the effects of medication), Delirium, Substance Intoxication, Substance Withdrawal or another mental disorder (e.g., Schizophrenia or Other Primary Psychotic Disorder, a Mood Disorder, Post-Traumatic Stress Disorder, a Dissociative Disorder).
The symptoms result in significant impairment in personal, family, social, educational, occupational, or other important areas of functioning."
"Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium, without psychotic symptoms","A syndrome associated with pregnancy or the puerperium (commencing within about 6 weeks after delivery) that involves significant mental and behavioural features, most commonly depressive symptoms. The syndrome does not include delusions, hallucinations, or other psychotic symptoms. If the symptoms meet the diagnostic requirements for a specific mental disorder, that diagnosis should also be assigned. This designation should not be used to describe mild and transient depressive symptoms that do not meet the diagnostic requirements for a depressive episode, which may occur soon after delivery (so-called postpartum blues).","Onset of a syndrome involving significant mental and behavioural features occurring during pregnancy or the puerperium (i.e., up to about 6 weeks following delivery).
The syndrome does not include delusions, hallucinations, or other psychotic symptoms.
The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effects of a substance or medication on the central nervous system (e.g., benzodiazepines), including withdrawal effects (e.g., from stimulants).
The disturbance results in significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
"Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium, with psychotic symptoms","A syndrome associated with pregnancy or the puerperium (commencing within about 6 weeks after delivery) that involves significant mental and behavioural features, including delusions, hallucinations, or other psychotic symptoms. Mood symptoms (depressive and/or manic) are also typically present. If the symptoms meet the diagnostic requirements for a specific mental disorder, that diagnosis should also be assigned.","Onset of a syndrome involving significant mental and behavioural features occurring during pregnancy or the puerperium (i.e., up to about 6 weeks following delivery).
The syndrome includes psychotic symptoms (i.e., delusions, hallucinations, or other psychotic symptoms). Depressive and/or manic mood symptoms are also typically present.
The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effects of a substance or medication on the central nervous system (e.g., benzodiazepines), including withdrawal effects (e.g., from stimulants).
The disturbance results in significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Insomnia disorders,"Insomnia disorders are characterised by the complaint of persistent difficulty with sleep initiation, duration, consolidation, or quality that occurs despite adequate opportunity and circumstances for sleep, and results in some form of daytime impairment. Daytime symptoms typically include fatigue, depressed mood or irritability, general malaise, and cognitive impairment. Individuals who report sleep related symptoms in the absence of daytime impairment are not regarded as having an insomnia disorder.",
Parasomnia disorders,"Parasomnias are problematic behavioural or physiological events that occur while falling asleep, during sleep, or upon arousal from sleep. Parasomnias may occur during non-rapid eye movement sleep (NREM), rapid eye movement sleep (REM), or during transitions to and from sleep. They encompass abnormal sleep related complex movements, behaviours, emotions, perceptions, dreams, and autonomic nervous system activity.",
